Aconitum napellus
Adenocarpus hispanicus
Adonis annua
Adonis microcarpa
Alkanna tinctoria
Allium chamaemoly
Allium nigrum
Allium ursinum
Andryala ragusina
Anemone nemorosa
Angelica pachycarpa
Anthericum liliago
Aphyllanthes monspeliensis
Arabis verna
Armeria maritima
Asplenium septentrionale
Astragalus glycyphyllos
Astragalus incanus
Astragalus tragacantha
Avenula pubescens
Berula erecta
Bombycilaena erecta
Bromus squarrosus
Butomus umbellatus
Buxus sempervirens
Calendula suffruticosa
Carex sylvatica
Carrichtera annua
Catananche caerulea
Centaurea alba
Cephalanthera rubra
Convolvulus lineatus
Coronilla minima
Corydalis cava
Cryptogramma crispa
Cymodocea nodosa
Cynanchum acutum
Cynomorium coccineum
Dactylorhiza insularis
Daphne laureola
Doronicum plantagineum
Drosophyllum lusitanicum
Dryopteris carthusiana
Dryopteris expansa
Echium boissieri
Eleocharis acicularis
Ephedra fragilis
Eriophorum angustifolium
Euonymus europaeus
Euphorbia flavicoma
Fagonia cretica
Fumana procumbens
Gagea pratensis
Genista scorpius
Gentiana lutea
Glaucium corniculatum
Globularia alypum
Groenlandia densa
Gymnadenia conopsea
Haplophyllum linifolium
Helianthemum cinereum
Helianthemum marifolium
Hyoscyamus niger
Jurinea humilis
Klasea flavescens
Knautia nevadensis
Kundmannia sicula
Lilium martagon
Limonium echioides
Limonium sinuatum
Linaria hirta
Linaria micrantha
Linaria ricardoi
Linum austriacum
Linum narbonense
Littorella uniflora
Lycopodiella inundata
Lycopodium clavatum
Lysimachia ephemerum
Marsilea quadrifolia
Menyanthes trifoliata
Narcissus cyclamineus
Neottia nidus-avis
Nymphoides peltata
Oenanthe globulosa
Onopordum illyricum
Onosma tricerosperma
Ophioglossum vulgatum
Orchis provincialis
Pastinaca sativa
Peucedanum oreoselinum
Phleum arenarium
Phleum phleoides
Pilularia globulifera
Pinus sylvestris
Pistorinia hispanica
Plantago maritima
Platanthera bifolia
Potamogeton coloratus
Potamogeton gramineus
Potamogeton lucens
Potamogeton perfoliatus
Potentilla montana
Quercus canariensis
Ranunculus macrophyllus
Reseda alba
Rhynchospora alba
Rosa rubiginosa
Rumex longifolius
Ruppia cirrhosa
Sagina saginoides
Salix repens
Schoenoplectus litoralis
Schoenoplectus triqueter
Scleranthus perennis
Senecio doria
Senecio doronicum
Senecio pyrenaicus
Silene ciliata
Silene conica
Sparganium angustifolium
Spiraea hypericifolia
Stachys palustris
Taxus baccata
Thymelaea coridifolia
Tordylium apulum
Trichophorum cespitosum
Tuberaria globulariifolia
Urtica pilulifera
Utricularia australis
Vaccinium uliginosum
Valeriana dioica
Valeriana montana
Valeriana officinalis
Vallisneria spiralis
Veratrum album
Veronica nevadensis
Viburnum lantana
Viburnum opulus
Vicia bithynica
Vicia onobrychioides
Vicia peregrina
Vincetoxicum hirundinaria
Viola arborescens
Viola bubanii
Viola hirta
Withania frutescens
Wolffia arrhiza
Woodwardia radicans
Xeranthemum cylindraceum
Xeranthemum inapertum
Zostera marina
