Anarrhinum longipedicellatum
Anthyllis vulneraria
Arnica montana
Centaurea paniculata
Cistus ladanifer
Doronicum plantagineum
Gentiana lutea
Halimium umbellatum
Iberis procumbens
Iris xiphium
Jasione maritima
Linaria ricardoi
Lycopodiella inundata
Lycopodium clavatum
Marsilea quadrifolia
Narcissus bulbocodium
Narcissus cyclamineus
Narcissus pseudonarcissus
Narcissus triandrus
Ruscus aculeatus
Salix salviifolia
Scrophularia grandiflora
Senecio doronicum
Senecio pyrenaicus
Spiranthes aestivalis
Thymus camphoratus
Thymus capitellatus
Thymus carnosus
Tuberaria globulariifolia
Ulex densus
Woodwardia radicans
