Anarrhinum longipedicellatum
Anthyllis vulneraria
Centaurea alba
Centaurea paniculata
Centaurea sphaerocephala
Ceratocapnos claviculata
Cistus ladanifer
Daucus carota
Digitalis purpurea
Dittrichia viscosa
Doronicum plantagineum
Echium rosulatum
Euphorbia paniculata
Halimium umbellatum
Iberis procumbens
Jasione maritima
Linaria amethystea
Linaria ricardoi
Narcissus pseudonarcissus
Quercus coccifera
Scrophularia grandiflora
Senecio doronicum
Senecio pyrenaicus
Thymus camphoratus
Thymus capitellatus
Tuberaria globulariifolia
Ulex densus
Viola kitaibeliana
