Aconitum napellus
Adenocarpus hispanicus
Agrostis canina
Agrostis stolonifera
Aichryson laxum
Aira caryophyllea
Ajuga chamaepitys
Alkanna tinctoria
Allium ursinum
Alopecurus myosuroides
Althaea hirsuta
Amaranthus hypochondriacus
Ambrosia artemisiifolia
Andryala ragusina
Anemone coronaria
Anemone nemorosa
Angelica pachycarpa
Aquilegia vulgaris
Armeria arenaria
Artemisia campestris
Arum cylindraceum
Asperula arvensis
Asplenium septentrionale
Astragalus glycyphyllos
Astragalus incanus
Astragalus tragacantha
Avena fatua
Avena sterilis
Avenula pubescens
Bassia scoparia
Blackstonia acuminata
Bombycilaena erecta
Brachypodium retusum
Bromus squarrosus
Butomus umbellatus
Calamagrostis arundinacea
Calystegia silvatica
Camelina microcarpa
Carex divulsa
Carex elata
Carex nigra
Carex sylvatica
Carrichtera annua
Catananche caerulea
Centaurea alba
Centunculus minimus
Cirsium filipendulum
Convolvulus lineatus
Convolvulus siculus
Coronilla minima
Corrigiola telephiifolia
Corydalis cava
Crepis capillaris
Crepis pulchra
Crocus serotinus
Cryptogramma crispa
Cytisus oromediterraneus
Daphne laureola
Delphinium halteratum
Digitaria ischaemum
Drosanthemum floribundum
Dryopteris carthusiana
Dryopteris expansa
Ecballium elaterium
Echium rosulatum
Eleocharis acicularis
Eleocharis uniglumis
Epilobium palustre
Equisetum palustre
Erucastrum nasturtiifolium
Euphorbia flavicoma
Euphorbia hyberna
Euphorbia paniculata
Euphorbia peplus
Fagonia cretica
Fedia cornucopiae
Festuca rubra
Gagea bohemica
Gagea pratensis
Genista scorpius
Gentiana lutea
Geranium pusillum
Gladiolus illyricus
Globularia alypum
Glyceria fluitans
Glycyrrhiza glabra
Gymnadenia conopsea
Halimium halimifolium
Haplophyllum linifolium
Helianthemum cinereum
Helianthemum hirtum
Helianthemum marifolium
Helianthus annuus
Heliotropium curassavicum
Herniaria cinerea
Herniaria glabra
Hieracium amplexicaule
Hieracium lachenalii
Hieracium laevigatum
Hieracium murorum
Holcus lanatus
Hordeum secalinum
Inula salicina
Isatis tinctoria
Jasione crispa
Jasione laevis
Jasonia tuberosa
Juncus ranarius
Juncus tenageia
Juniperus communis
Juniperus oxycedrus
Klasea flavescens
Kundmannia sicula
Lavandula latifolia
Leontodon hispidus
Lepidium graminifolium
Lepidium ruderale
Lepidium sativum
Linum austriacum
Linum catharticum
Linum narbonense
Lotus corniculatus
Luzula multiflora
Lycopodium clavatum
Marsilea quadrifolia
Matthiola incana
Medicago arborea
Medicago falcata
Menyanthes trifoliata
Mesembryanthemum crystallinum
Moenchia erecta
Montia fontana
Moricandia arvensis
Myriophyllum verticillatum
Narcissus papyraceus
Narcissus pseudonarcissus
Oenothera biennis
Onobrychis viciifolia
Ononis ramosissima
Ononis reclinata
Onopordum illyricum
Onosma tricerosperma
Orchis provincialis
Parapholis strigosa
Paronychia argentea
Paronychia capitata
Pastinaca sativa
Peucedanum oreoselinum
Phleum arenarium
Phleum phleoides
Pilosella officinarum
Pilularia globulifera
Pinguicula vulgaris
Plantago alpina
Plantago maritima
Poa supina
Poa trivialis
Polycarpon tetraphyllum
Populus nigra
Portulaca oleracea
Potamogeton coloratus
Potamogeton nodosus
Prunus padus
Pteris vittata
Pulicaria vulgaris
Quercus faginea
Ranunculus bulbosus
Ranunculus trichophyllus
Reseda alba
Rosa rubiginosa
Rosa tomentosa
Rumex longifolius
Sagina nodosa
Salix caprea
Salix triandra
Salvia sclarea
Salvia viridis
Santolina rosmarinifolia
Scabiosa columbaria
Schoenoplectus litoralis
Scleranthus perennis
Scorzonera humilis
Scrophularia frutescens
Scrophularia scorodonia
Sedum hirsutum
Senecio doria
Senecio leucanthemifolius
Senecio pyrenaicus
Silene ciliata
Silene conica
Sisymbrium irio
Solidago virgaurea
Sparganium angustifolium
Sparganium erectum
Stachys palustris
Tamarix gallica
Taraxacum obovatum
Thalictrum minus
Thymelaea coridifolia
Thymelaea passerina
Tordylium apulum
Trifolium alexandrinum
Trifolium arvense
Trifolium ornithopodioides
Turgenia latifolia
Urtica pilulifera
Vaccinium uliginosum
Valeriana dioica
Valeriana montana
Valerianella echinata
Valerianella locusta
Vallisneria spiralis
Veratrum album
Verbascum giganteum
Verbena rigida
Veronica agrestis
Veronica nevadensis
Veronica verna
Viburnum lantana
Vicia benghalensis
Vicia narbonensis
Vicia onobrychioides
Viola arborescens
Viola bubanii
Viola hirta
Viola kitaibeliana
Withania frutescens
Xanthium strumarium
Xeranthemum cylindraceum
