Acanthus mollis
Achillea ageratum
Achillea millefolium
Aconitum napellus
Adiantum capillus-veneris
Adonis annua
Adonis microcarpa
Aegilops geniculata
Aegilops triuncialis
Agave americana
Agrimonia eupatoria
Agrimonia procera
Agrostemma githago
Agrostis canina
Agrostis capillaris
Agrostis stolonifera
Aichryson laxum
Aira caryophyllea
Aira praecox
Ajuga chamaepitys
Ajuga iva
Ajuga pyramidalis
Ajuga reptans
Alcea rosea
Alisma lanceolatum
Alisma plantago-aquatica
Alkanna tinctoria
Alliaria petiolata
Allium ampeloprasum
Allium chamaemoly
Allium guttatum
Allium neapolitanum
Allium nigrum
Allium oleraceum
Allium paniculatum
Allium roseum
Allium schoenoprasum
Allium sphaerocephalon
Allium subvillosum
Allium triquetrum
Allium ursinum
Allium victorialis
Allium vineale
Alopecurus aequalis
Alopecurus arundinaceus
Alopecurus geniculatus
Alopecurus myosuroides
Althaea hirsuta
Alyssum minutum
Alyssum simplex
Amaranthus albus
Amaranthus blitoides
Amaranthus blitum
Amaranthus deflexus
Amaranthus hybridus
Amaranthus hypochondriacus
Amaranthus retroflexus
Amaranthus viridis
Ambrosia artemisiifolia
Ammi majus
Ammi visnaga
Ammophila arenaria
Anacamptis pyramidalis
Anacyclus clavatus
Anacyclus radiatus
Anarrhinum bellidifolium
Anarrhinum duriminium
Anarrhinum longipedicellatum
Anchusa azurea
Anchusa calcarea
Anchusa undulata
Andryala integrifolia
Andryala ragusina
Anemone coronaria
Anemone nemorosa
Anemone palmata
Anemone trifolia
Angelica pachycarpa
Angelica sylvestris
Anogramma leptophylla
Anthemis arvensis
Anthemis cotula
Anthericum liliago
Anthoxanthum aristatum
Anthoxanthum odoratum
Anthriscus caucalis
Anthriscus sylvestris
Anthyllis vulneraria
Antirrhinum graniticum
Antirrhinum linkianum
Aphanes arvensis
Aphanes australis
Aphyllanthes monspeliensis
Apium graveolens
Apium nodiflorum
Aquilegia vulgaris
Arabidopsis thaliana
Arabis planisiliqua
Arabis verna
Arctium minus
Arctotheca calendula
Arenaria leptoclados
Arenaria montana
Arenaria serpyllifolia
Argyrolobium zanonii
Arisarum simorrhinum
Aristolochia baetica
Aristolochia paucinervis
Aristolochia pistolochia
Armeria arenaria
Armeria maritima
Armeria pungens
Arnica montana
Arnoseris minima
Arrhenatherum elatius
Artemisia verlotiorum
Artemisia vulgaris
Arum cylindraceum
Arum italicum
