species	genus	family
Acacia dealbata	Acacia	Fabaceae
Acacia longifolia	Acacia	Fabaceae
Acacia mearnsii	Acacia	Fabaceae
Acacia melanoxylon	Acacia	Fabaceae
Acacia pycnantha	Acacia	Fabaceae
Acacia retinodes	Acacia	Fabaceae
Acacia saligna	Acacia	Fabaceae
Acanthus mollis	Acanthus	Acanthaceae
Acer monspessulanum	Acer	Sapindaceae
Acer negundo	Acer	Sapindaceae
Acer pseudoplatanus	Acer	Sapindaceae
Achillea ageratum	Achillea	Asteraceae
Achillea millefolium	Achillea	Asteraceae
Aconitum napellus	Aconitum	Ranunculaceae
Adenocarpus complicatus	Adenocarpus	Fabaceae
Adenocarpus hispanicus	Adenocarpus	Fabaceae
Adenocarpus telonensis	Adenocarpus	Fabaceae
Adiantum capillus-veneris	Adiantum	Pteridaceae
Adonis annua	Adonis	Ranunculaceae
Adonis microcarpa	Adonis	Ranunculaceae
Aegilops geniculata	Aegilops	Poaceae
Aegilops triuncialis	Aegilops	Poaceae
Aeonium arboreum	Aeonium	Crassulaceae
Agapanthus praecox	Agapanthus	Amaryllidaceae
Agave americana	Agave	Asparagaceae
Ageratina adenophora	Ageratina	Asteraceae
Agrimonia eupatoria	Agrimonia	Rosaceae
Agrimonia procera	Agrimonia	Rosaceae
Agrostemma githago	Agrostemma	Caryophyllaceae
Agrostis canina	Agrostis	Poaceae
Agrostis capillaris	Agrostis	Poaceae
Agrostis stolonifera	Agrostis	Poaceae
Aichryson laxum	Aichryson	Crassulaceae
Ailanthus altissima	Ailanthus	Simaroubaceae
Aira caryophyllea	Aira	Poaceae
Aira praecox	Aira	Poaceae
Ajuga chamaepitys	Ajuga	Lamiaceae
Ajuga iva	Ajuga	Lamiaceae
Ajuga pyramidalis	Ajuga	Lamiaceae
Ajuga reptans	Ajuga	Lamiaceae
Alcea rosea	Alcea	Malvaceae
Alisma lanceolatum	Alisma	Alismataceae
Alisma plantago-aquatica	Alisma	Alismataceae
Alkanna tinctoria	Alkanna	Boraginaceae
Alliaria petiolata	Alliaria	Brassicaceae
Allium ampeloprasum	Allium	Amaryllidaceae
Allium chamaemoly	Allium	Amaryllidaceae
Allium guttatum	Allium	Amaryllidaceae
Allium neapolitanum	Allium	Amaryllidaceae
Allium nigrum	Allium	Amaryllidaceae
Allium oleraceum	Allium	Amaryllidaceae
Allium paniculatum	Allium	Amaryllidaceae
Allium roseum	Allium	Amaryllidaceae
Allium schoenoprasum	Allium	Amaryllidaceae
Allium sphaerocephalon	Allium	Amaryllidaceae
Allium subvillosum	Allium	Amaryllidaceae
Allium triquetrum	Allium	Amaryllidaceae
Allium ursinum	Allium	Amaryllidaceae
Allium victorialis	Allium	Amaryllidaceae
Allium vineale	Allium	Amaryllidaceae
Alnus glutinosa	Alnus	Betulaceae
Alopecurus aequalis	Alopecurus	Poaceae
Alopecurus arundinaceus	Alopecurus	Poaceae
Alopecurus geniculatus	Alopecurus	Poaceae
Alopecurus myosuroides	Alopecurus	Poaceae
Althaea hirsuta	Althaea	Malvaceae
Althaea officinalis	Althaea	Malvaceae
Alyssum alyssoides	Alyssum	Brassicaceae
Alyssum minutum	Alyssum	Brassicaceae
Alyssum simplex	Alyssum	Brassicaceae
Amaranthus albus	Amaranthus	Amaranthaceae
Amaranthus blitoides	Amaranthus	Amaranthaceae
Amaranthus blitum	Amaranthus	Amaranthaceae
Amaranthus deflexus	Amaranthus	Amaranthaceae
Amaranthus hybridus	Amaranthus	Amaranthaceae
Amaranthus hypochondriacus	Amaranthus	Amaranthaceae
Amaranthus retroflexus	Amaranthus	Amaranthaceae
Amaranthus viridis	Amaranthus	Amaranthaceae
Ambrosia artemisiifolia	Ambrosia	Asteraceae
Amelanchier ovalis	Amelanchier	Rosaceae
Ammi majus	Ammi	Apiaceae
Ammi visnaga	Ammi	Apiaceae
Ammophila arenaria	Ammophila	Poaceae
Anacamptis pyramidalis	Anacamptis	Orchidaceae
Anacyclus clavatus	Anacyclus	Asteraceae
Anacyclus radiatus	Anacyclus	Asteraceae
Anagyris foetida	Anagyris	Fabaceae
Anarrhinum bellidifolium	Anarrhinum	Plantaginaceae
Anarrhinum duriminium	Anarrhinum	Plantaginaceae
Anarrhinum longipedicellatum	Anarrhinum	Plantaginaceae
Anchusa azurea	Anchusa	Boraginaceae
Anchusa calcarea	Anchusa	Boraginaceae
Anchusa undulata	Anchusa	Boraginaceae
Andryala integrifolia	Andryala	Asteraceae
Andryala ragusina	Andryala	Asteraceae
Anemone coronaria	Anemone	Ranunculaceae
Anemone nemorosa	Anemone	Ranunculaceae
Anemone palmata	Anemone	Ranunculaceae
Anemone trifolia	Anemone	Ranunculaceae
Angelica pachycarpa	Angelica	Apiaceae
Angelica sylvestris	Angelica	Apiaceae
Anogramma leptophylla	Anogramma	Pteridaceae
Anthemis arvensis	Anthemis	Asteraceae
Anthemis cotula	Anthemis	Asteraceae
Anthemis maritima	Anthemis	Asteraceae
Anthericum liliago	Anthericum	Asparagaceae
Anthoxanthum aristatum	Anthoxanthum	Poaceae
Anthoxanthum odoratum	Anthoxanthum	Poaceae
Anthriscus caucalis	Anthriscus	Apiaceae
Anthriscus sylvestris	Anthriscus	Apiaceae
Anthyllis vulneraria	Anthyllis	Fabaceae
Antirrhinum graniticum	Antirrhinum	Plantaginaceae
Antirrhinum linkianum	Antirrhinum	Plantaginaceae
Aphanes arvensis	Aphanes	Rosaceae
Aphanes australis	Aphanes	Rosaceae
Aphyllanthes monspeliensis	Aphyllanthes	Asparagaceae
Apium graveolens	Apium	Apiaceae
Apium nodiflorum	Apium	Apiaceae
Aquilegia vulgaris	Aquilegia	Ranunculaceae
Arabidopsis thaliana	Arabidopsis	Brassicaceae
Arabis planisiliqua	Arabis	Brassicaceae
Arabis verna	Arabis	Brassicaceae
Arbutus unedo	Arbutus	Ericaceae
Arctium minus	Arctium	Asteraceae
Arctotheca calendula	Arctotheca	Asteraceae
Arenaria leptoclados	Arenaria	Caryophyllaceae
Arenaria montana	Arenaria	Caryophyllaceae
Arenaria serpyllifolia	Arenaria	Caryophyllaceae
Argyrolobium zanonii	Argyrolobium	Fabaceae
Arisarum simorrhinum	Arisarum	Araceae
Aristolochia baetica	Aristolochia	Aristolochiaceae
Aristolochia paucinervis	Aristolochia	Aristolochiaceae
Aristolochia pistolochia	Aristolochia	Aristolochiaceae
