Adiantum capillus-veneris
Anogramma leptophylla
Asplenium adiantum-nigrum
Asplenium marinum
Asplenium obovatum
Asplenium onopteris
Asplenium petrarchae
Asplenium ruta-muraria
Asplenium septentrionale
Asplenium trichomanes
Athyrium filix-femina
Azolla filiculoides
Cosentinia vellea
Cryptogramma crispa
Cystopteris fragilis
Davallia canariensis
Dryopteris affinis
Dryopteris carthusiana
Dryopteris dilatata
Dryopteris expansa
Dryopteris filix-mas
Equisetum arvense
Equisetum palustre
Equisetum ramosissimum
Equisetum telmateia
Lycopodiella inundata
Lycopodium clavatum
Marsilea quadrifolia
Ophioglossum lusitanicum
Ophioglossum vulgatum
Osmunda regalis
Pilularia globulifera
Polypodium cambricum
Polypodium interjectum
Polypodium vulgare
Polystichum setiferum
Pteridium aquilinum
Pteris vittata
Selaginella denticulata
Selaginella kraussiana
Thelypteris palustris
Woodwardia radicans
