species	filename	url	source_url
Passiflora caerulea	2874199_88f3bfea185135acd40300b8752fe97895a6eb8c.jpg	https://storage.googleapis.com/floraondata/plantclef/2874199_88f3bfea185135acd40300b8752fe97895a6eb8c.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2874199/88f3bfea185135acd40300b8752fe97895a6eb8c.jpg
Sideritis romana	2926687_096018ec5729fbfbc8063e0b9c146b024fad3993.jpg	https://storage.googleapis.com/floraondata/plantclef/2926687_096018ec5729fbfbc8063e0b9c146b024fad3993.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2926687/096018ec5729fbfbc8063e0b9c146b024fad3993.jpg
Sambucus ebulus	2888722_0027ab4342d9d246dda0c39ea14c568ef69a551e.jpg	https://storage.googleapis.com/floraondata/plantclef/2888722_0027ab4342d9d246dda0c39ea14c568ef69a551e.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2888722/0027ab4342d9d246dda0c39ea14c568ef69a551e.jpg
Ornithogalum pyrenaicum	2772902_7fe18c058f9039e21cbb68ffd2fec6882cf28312.jpg	https://storage.googleapis.com/floraondata/plantclef/2772902_7fe18c058f9039e21cbb68ffd2fec6882cf28312.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2772902/7fe18c058f9039e21cbb68ffd2fec6882cf28312.jpg
Gomphocarpus fruticosus	7150619_3af062d277e9b9e32262648d2c0e4799628bc700.jpg	https://storage.googleapis.com/floraondata/plantclef/7150619_3af062d277e9b9e32262648d2c0e4799628bc700.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/7150619/3af062d277e9b9e32262648d2c0e4799628bc700.jpg
Leontodon hispidus	3137498_529c80201fa666281d9635ca0c2fcaf9e6673f55.jpg	https://storage.googleapis.com/floraondata/plantclef/3137498_529c80201fa666281d9635ca0c2fcaf9e6673f55.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3137498/529c80201fa666281d9635ca0c2fcaf9e6673f55.jpg
Moehringia trinervia	3085370_15e3f41f3a6f57bba1a41da18de2916e9e06a368.jpg	https://storage.googleapis.com/floraondata/plantclef/3085370_15e3f41f3a6f57bba1a41da18de2916e9e06a368.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3085370/15e3f41f3a6f57bba1a41da18de2916e9e06a368.jpg
Samolus valerandi	3169313_328154d9b413459536f757cf6d60cee311fb1add.jpg	https://storage.googleapis.com/floraondata/plantclef/3169313_328154d9b413459536f757cf6d60cee311fb1add.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3169313/328154d9b413459536f757cf6d60cee311fb1add.jpg
Narcissus bulbocodium	2858846_c95a118c53f6681f250fd4aba787b18ac916f4c3.jpg	https://storage.googleapis.com/floraondata/plantclef/2858846_c95a118c53f6681f250fd4aba787b18ac916f4c3.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2858846/c95a118c53f6681f250fd4aba787b18ac916f4c3.jpg
Spergularia media	10790895_b0f02e78895ea62bdf2b77b9cceedf1e2f5f2603.jpg	https://storage.googleapis.com/floraondata/plantclef/10790895_b0f02e78895ea62bdf2b77b9cceedf1e2f5f2603.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/10790895/b0f02e78895ea62bdf2b77b9cceedf1e2f5f2603.jpg
Malva tournefortiana	3940394_fbb3bce2e59d6c1425b0e00dabf37f8c22040296.jpg	https://storage.googleapis.com/floraondata/plantclef/3940394_fbb3bce2e59d6c1425b0e00dabf37f8c22040296.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3940394/fbb3bce2e59d6c1425b0e00dabf37f8c22040296.jpg
Sinapis alba	3047621_9d2b972fbe0fa8de5df019c35263893cc0b3d14d.jpg	https://storage.googleapis.com/floraondata/plantclef/3047621_9d2b972fbe0fa8de5df019c35263893cc0b3d14d.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3047621/9d2b972fbe0fa8de5df019c35263893cc0b3d14d.jpg
Brachypodium distachyon	5290143_c36ccded0a5e91fd0de831df4ab3f4cd05af0045.jpg	https://storage.googleapis.com/floraondata/plantclef/5290143_c36ccded0a5e91fd0de831df4ab3f4cd05af0045.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5290143/c36ccded0a5e91fd0de831df4ab3f4cd05af0045.jpg
Platanthera bifolia	9213153_3ef23b6990a4a38379b5c32f3c706f352d330518.jpg	https://storage.googleapis.com/floraondata/plantclef/9213153_3ef23b6990a4a38379b5c32f3c706f352d330518.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/9213153/3ef23b6990a4a38379b5c32f3c706f352d330518.jpg
Lavandula multifida	3891203_4d1f4dd1c26a3f57a58f1721244eb895a76586b1.jpg	https://storage.googleapis.com/floraondata/plantclef/3891203_4d1f4dd1c26a3f57a58f1721244eb895a76586b1.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3891203/4d1f4dd1c26a3f57a58f1721244eb895a76586b1.jpg
Myrica gale	5414202_455fab2a7193150b3d9c5ca2adab94be4e0445ef.jpg	https://storage.googleapis.com/floraondata/plantclef/5414202_455fab2a7193150b3d9c5ca2adab94be4e0445ef.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5414202/455fab2a7193150b3d9c5ca2adab94be4e0445ef.jpg
Populus nigra	3040227_caed8e47d3d0045462cd3a733d346ec817970e78.jpg	https://storage.googleapis.com/floraondata/plantclef/3040227_caed8e47d3d0045462cd3a733d346ec817970e78.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3040227/caed8e47d3d0045462cd3a733d346ec817970e78.jpg
Stellaria alsine	5384606_41c9b8cd253f1a7c9be4b5b606d9c18d3d42070a.jpg	https://storage.googleapis.com/floraondata/plantclef/5384606_41c9b8cd253f1a7c9be4b5b606d9c18d3d42070a.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5384606/41c9b8cd253f1a7c9be4b5b606d9c18d3d42070a.jpg
Delphinium pentagynum	7277824_fd6b0b584d9386943b87050a0f5b9df40a30d7a6.jpg	https://storage.googleapis.com/floraondata/plantclef/7277824_fd6b0b584d9386943b87050a0f5b9df40a30d7a6.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/7277824/fd6b0b584d9386943b87050a0f5b9df40a30d7a6.jpg
Atriplex halimus	3083718_416e803bc46e94442bced1e4152793efbf528e11.jpg	https://storage.googleapis.com/floraondata/plantclef/3083718_416e803bc46e94442bced1e4152793efbf528e11.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3083718/416e803bc46e94442bced1e4152793efbf528e11.jpg
Echium plantagineum	2925895_b179986cf55a4c9f4f9af2ca79cb4bdc0be5315a.jpg	https://storage.googleapis.com/floraondata/plantclef/2925895_b179986cf55a4c9f4f9af2ca79cb4bdc0be5315a.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2925895/b179986cf55a4c9f4f9af2ca79cb4bdc0be5315a.jpg
Cyperus michelianus	2714056_9f297bb9efca33b014cc4ee0c2d5f73d60db3bc8.jpg	https://storage.googleapis.com/floraondata/plantclef/2714056_9f297bb9efca33b014cc4ee0c2d5f73d60db3bc8.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2714056/9f297bb9efca33b014cc4ee0c2d5f73d60db3bc8.jpg
Reseda alba	3040254_ee506809eaf960db27a418cb3cdeae689e300b85.jpg	https://storage.googleapis.com/floraondata/plantclef/3040254_ee506809eaf960db27a418cb3cdeae689e300b85.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3040254/ee506809eaf960db27a418cb3cdeae689e300b85.jpg
Bolboschoenus glaucus	2718387_2495cdb129dd22feb7232333df6a26278aa70e66.jpg	https://storage.googleapis.com/floraondata/plantclef/2718387_2495cdb129dd22feb7232333df6a26278aa70e66.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2718387/2495cdb129dd22feb7232333df6a26278aa70e66.jpg
Oxalis exilis	3626311_c4ab7efd17234546cfe7d0cf24a6b4098b4b1e96.jpg	https://storage.googleapis.com/floraondata/plantclef/3626311_c4ab7efd17234546cfe7d0cf24a6b4098b4b1e96.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3626311/c4ab7efd17234546cfe7d0cf24a6b4098b4b1e96.jpg
Cyperus rotundus	2714818_087a78aa7c1dfc56ae121f9e69efb8fb463825ae.jpg	https://storage.googleapis.com/floraondata/plantclef/2714818_087a78aa7c1dfc56ae121f9e69efb8fb463825ae.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2714818/087a78aa7c1dfc56ae121f9e69efb8fb463825ae.jpg
Fragaria vesca	3029817_8a0553f9562da328a7c5550bb3c626ff6cd46bd9.jpg	https://storage.googleapis.com/floraondata/plantclef/3029817_8a0553f9562da328a7c5550bb3c626ff6cd46bd9.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3029817/8a0553f9562da328a7c5550bb3c626ff6cd46bd9.jpg
Salix alba	5372513_9b8df4be93d80e07ef996bf4862e7e9033d1d8ab.jpg	https://storage.googleapis.com/floraondata/plantclef/5372513_9b8df4be93d80e07ef996bf4862e7e9033d1d8ab.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5372513/9b8df4be93d80e07ef996bf4862e7e9033d1d8ab.jpg
Pteris vittata	5275398_a617b6994756478f9c46c4f4f7ceeaf0d3e9183d.jpg	https://storage.googleapis.com/floraondata/plantclef/5275398_a617b6994756478f9c46c4f4f7ceeaf0d3e9183d.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5275398/a617b6994756478f9c46c4f4f7ceeaf0d3e9183d.jpg
Lathyrus latifolius	5356517_30688975c9f70aa172ffac12f96108191977b778.jpg	https://storage.googleapis.com/floraondata/plantclef/5356517_30688975c9f70aa172ffac12f96108191977b778.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5356517/30688975c9f70aa172ffac12f96108191977b778.jpg
Solanum dulcamara	2932737_fd4cfc827902af814dd0c167f84aebb8376d1d7b.jpg	https://storage.googleapis.com/floraondata/plantclef/2932737_fd4cfc827902af814dd0c167f84aebb8376d1d7b.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2932737/fd4cfc827902af814dd0c167f84aebb8376d1d7b.jpg
Sanicula europaea	6027128_6481166eec27f7df7213729a388c83928db0cd18.jpg	https://storage.googleapis.com/floraondata/plantclef/6027128_6481166eec27f7df7213729a388c83928db0cd18.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/6027128/6481166eec27f7df7213729a388c83928db0cd18.jpg
Solanum dulcamara	2932737_6a73f08e309d5826b9414286e7d97856ef1cd0e6.jpg	https://storage.googleapis.com/floraondata/plantclef/2932737_6a73f08e309d5826b9414286e7d97856ef1cd0e6.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/2932737/6a73f08e309d5826b9414286e7d97856ef1cd0e6.jpg
Amelanchier ovalis	3023878_2586cc5c66ece11ec6e056d643ca42aa904ee2a1.jpg	https://storage.googleapis.com/floraondata/plantclef/3023878_2586cc5c66ece11ec6e056d643ca42aa904ee2a1.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3023878/2586cc5c66ece11ec6e056d643ca42aa904ee2a1.jpg
Typha domingensis	5289534_3e421fb01d4a5ac617a4b7cfe97a9bc0664af316.jpg	https://storage.googleapis.com/floraondata/plantclef/5289534_3e421fb01d4a5ac617a4b7cfe97a9bc0664af316.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5289534/3e421fb01d4a5ac617a4b7cfe97a9bc0664af316.jpg
Pilularia globulifera	3913526_f2ee7d157bf24102d1c9e59ae3034b68f7b916c9.jpg	https://storage.googleapis.com/floraondata/plantclef/3913526_f2ee7d157bf24102d1c9e59ae3034b68f7b916c9.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/3913526/f2ee7d157bf24102d1c9e59ae3034b68f7b916c9.jpg
Cistus ladanifer	6437976_dd9b888605231dd3f6a92805b67104f36f03dc29.jpg	https://storage.googleapis.com/floraondata/plantclef/6437976_dd9b888605231dd3f6a92805b67104f36f03dc29.jpg	https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/6437976/dd9b888605231dd3f6a92805b67104f36f03dc29.jpg
