filename	species	rank1	c1	rank2	c2	rank3	c3	rank4	c4	rank5	c5
2874199_88f3bfea185135acd40300b8752fe97895a6eb8c.jpg	Passiflora caerulea	Passiflora caerulea	0.91002	Passiflora foetida	0.00374	Passiflora amethystina	0.00343	Passiflora edulis	0.00334	Passiflora ligularis	0.00208
2926687_096018ec5729fbfbc8063e0b9c146b024fad3993.jpg	Sideritis romana	Sideritis romana	0.90259	Stachys annua	0.00366	Stachys ocymastrum	0.0023	Stachys recta	0.00171
2888722_0027ab4342d9d246dda0c39ea14c568ef69a551e.jpg	Sambucus ebulus	Sambucus nigra	0.02084	Sambucus ebulus	0.01087	Sambucus canadensis	0.0063	Sambucus racemosa	0.00461	Viburnum rufidulum	0.00352
2772902_7fe18c058f9039e21cbb68ffd2fec6882cf28312.jpg	Ornithogalum pyrenaicum	Loncomelos narbonense	0.44366	Anthericum liliago	0.01115
7150619_3af062d277e9b9e32262648d2c0e4799628bc700.jpg	Gomphocarpus fruticosus	Gomphocarpus fruticosus	0.70265	Gomphocarpus physocarpus	0.06929	Gomphocarpus integer	0.00272
3137498_529c80201fa666281d9635ca0c2fcaf9e6673f55.jpg	Leontodon hispidus	Pilosella aurantiaca	0.17082	Knautia arvensis	0.09256	Trifolium montanum	0.08025	Pilosella cymosa	0.03994	Papaver dubium	0.03556
3085370_15e3f41f3a6f57bba1a41da18de2916e9e06a368.jpg	Moehringia trinervia	Stellaria media	0.39776	Stellaria apetala	0.10053	Salpichroa origanifolia	0.05557	Moehringia trinervia	0.02274	Euphorbia peplus	0.02023
3169313_328154d9b413459536f757cf6d60cee311fb1add.jpg	Samolus valerandi	Veronica beccabunga	0.33251	Samolus valerandi	0.07291	Veronica serpyllifolia	0.03763	Pyrola chlorantha	0.01712	Mandragora officinarum	0.01627
2858846_c95a118c53f6681f250fd4aba787b18ac916f4c3.jpg	Narcissus bulbocodium	Narcissus bulbocodium	0.90697	Narcissus gigas	0.02292	Narcissus obesus	0.00135
10790895_b0f02e78895ea62bdf2b77b9cceedf1e2f5f2603.jpg	Spergularia media	Spergula arvensis	0.50952	Spergularia marina	0.05581	Spergula morisonii	0.04251	Spergularia rubra	0.03089	Spergularia media	0.03078
3940394_fbb3bce2e59d6c1425b0e00dabf37f8c22040296.jpg	Malva tournefortiana	Malva tournefortiana	0.78293	Malva alcea	0.08925	Malva moschata	0.05518	Malva cretica	0.00147	Malva hispanica	0.00137
3047621_9d2b972fbe0fa8de5df019c35263893cc0b3d14d.jpg	Sinapis alba	Sinapis alba	0.70089	Brassica juncea	0.06022	Erucastrum nasturtiifolium	0.01673	Coincya tournefortii	0.01189	Rhamphospermum arvense	0.01132
5290143_c36ccded0a5e91fd0de831df4ab3f4cd05af0045.jpg	Brachypodium distachyon	Bromus madritensis	0.066	Bromus catharticus	0.0603	Festuca octoflora	0.04709	Brachypodium distachyon	0.02911	Crucianella angustifolia	0.01972
9213153_3ef23b6990a4a38379b5c32f3c706f352d330518.jpg	Platanthera bifolia	Platanthera bifolia	0.9595	Platanthera chlorantha	0.00462	Gymnadenia odoratissima	0.00146
3891203_4d1f4dd1c26a3f57a58f1721244eb895a76586b1.jpg	Lavandula multifida	Lavandula multifida	0.59544	Lavandula pinnata	0.0363	Lavandula canariensis	0.00893	Lavandula minutolii	0.00665	Lavandula coronopifolia	0.00427
5414202_455fab2a7193150b3d9c5ca2adab94be4e0445ef.jpg	Myrica gale	Myrica gale	0.424	Myrica hartwegii	0.00058
3040227_caed8e47d3d0045462cd3a733d346ec817970e78.jpg	Populus nigra	Populus nigra	0.3254	Salix pentandra	0.11709	Salix caprea	0.06239	Populus × canadensis	0.0599	Acer buergerianum	0.02461
5384606_41c9b8cd253f1a7c9be4b5b606d9c18d3d42070a.jpg	Stellaria alsine	Stellaria alsine	0.78583	Centaurium erythraea	0.02986	Linaria triphylla	0.00921	Centaurium maritimum	0.00845	Lysimachia foemina	0.00705
7277824_fd6b0b584d9386943b87050a0f5b9df40a30d7a6.jpg	Delphinium pentagynum	Delphinium verdunense	0.38079	Delphinium consolida	0.20304	Delphinium gracile	0.08161	Delphinium pentagynum	0.05552	Delphinium peregrinum	0.02427
3083718_416e803bc46e94442bced1e4152793efbf528e11.jpg	Atriplex halimus	Atriplex halimus	0.88758	Atriplex lentiformis	0.00879	Atriplex portulacoides	0.00535	Atriplex canescens	0.00265	Atriplex laciniata	0.00245
2925895_b179986cf55a4c9f4f9af2ca79cb4bdc0be5315a.jpg	Echium plantagineum	Echium plantagineum	0.52621	Echium sabulicola	0.26115	Echium vulgare	0.05259	Echium creticum	0.02674	Echium arenarium	0.00269
2714056_9f297bb9efca33b014cc4ee0c2d5f73d60db3bc8.jpg	Cyperus michelianus	Cyperus squarrosus	0.1884	Cyperus difformis	0.05287	Cyperus fuscus	0.04422	Cyperus granitophilus	0.03325	Cyperus michelianus	0.02056
3040254_ee506809eaf960db27a418cb3cdeae689e300b85.jpg	Reseda alba	Reseda alba	0.78301	Reseda lutea	0.03926	Reseda phyteuma	0.00967	Reseda luteola	0.00669	Reseda odorata	0.00448
2718387_2495cdb129dd22feb7232333df6a26278aa70e66.jpg	Bolboschoenus glaucus	Bolboschoenus maritimus	0.58135	Bolboschoenus glaucus	0.21692	Bolboschoenus laticarpus	0.01099	Bolboschoenus fluviatilis	0.00944	Schoenoplectus lacustris	0.00897
3626311_c4ab7efd17234546cfe7d0cf24a6b4098b4b1e96.jpg	Oxalis exilis	Oxalis corniculata	0.28133	Oxalis stricta	0.24714	Oxalis dillenii	0.15717	Oxalis exilis	0.04939	Oxalis incarnata	0.00356
2714818_087a78aa7c1dfc56ae121f9e69efb8fb463825ae.jpg	Cyperus rotundus	Cyperus rotundus	0.77617	Cyperus esculentus	0.04668	Cyperus longus	0.02316	Cyperus articulatus	0.00597	Chloris gayana	0.00327
3029817_8a0553f9562da328a7c5550bb3c626ff6cd46bd9.jpg	Fragaria vesca	Fragaria viridis	0.49181	Fragaria vesca	0.28476	Fragaria moschata	0.01654	Fragaria × ananassa	0.01148	Fragaria chiloensis	0.00302
5372513_9b8df4be93d80e07ef996bf4862e7e9033d1d8ab.jpg	Salix alba	Salix alba	0.74441	Salix eleagnos	0.05344	Salix viminalis	0.02438	Elaeagnus angustifolia	0.02341	Salix purpurea	0.01441
5275398_a617b6994756478f9c46c4f4f7ceeaf0d3e9183d.jpg	Pteris vittata	Pteris vittata	0.86344	Thelypteris ovata	0.0917	Pityrogramma calomelanos	0.00625	Pteris longifolia	0.00466	Hemionitis atropurpurea	0.00266
5356517_30688975c9f70aa172ffac12f96108191977b778.jpg	Lathyrus latifolius	Lathyrus latifolius	0.34236	Lathyrus odoratus	0.17762	Lathyrus heterophyllus	0.06226	Lathyrus sylvestris	0.04289	Lathyrus hirsutus	0.04078
2932737_fd4cfc827902af814dd0c167f84aebb8376d1d7b.jpg	Solanum dulcamara	Solanum dulcamara	0.95852	Solanum seaforthianum	0.01089	Solanum lyratum	0.00116	Solanum triquetrum	0.00101
6027128_6481166eec27f7df7213729a388c83928db0cd18.jpg	Sanicula europaea	Sanicula europaea	0.14075	Sanicula elata	0.0615	Sanicula liberta	0.02561	Cryptotaenia canadensis	0.01968	Astrantia carniolica	0.01811
2932737_6a73f08e309d5826b9414286e7d97856ef1cd0e6.jpg	Solanum dulcamara	Solanum dulcamara	0.91561	Solanum seaforthianum	0.01397	Viburnum opulus	0.00943	Solanum lyratum	0.00229
3023878_2586cc5c66ece11ec6e056d643ca42aa904ee2a1.jpg	Amelanchier ovalis	Amelanchier ovalis	0.84265	Amelanchier utahensis	0.01627	Amelanchier alnifolia	0.00592	Amelanchier canadensis	0.00576	Amelanchier × spicata	0.00364
5289534_3e421fb01d4a5ac617a4b7cfe97a9bc0664af316.jpg	Typha domingensis	Typha domingensis	0.53502	Typha angustifolia	0.37967	Typha latifolia	0.01697	Typha shuttleworthii	0.00314	Tripidium ravennae	0.00167
3913526_f2ee7d157bf24102d1c9e59ae3034b68f7b916c9.jpg	Pilularia globulifera	Pilularia globulifera	0.93499	Littorella uniflora	0.03945	Equisetum scirpoides	0.00453	Coleanthus subtilis	0.0015	Lilaeopsis occidentalis	0.00119
6437976_dd9b888605231dd3f6a92805b67104f36f03dc29.jpg	Cistus ladanifer	Cistus ladanifer	0.87449	Cistus × purpureus	0.00525	Cistus × aguilari	0.00243
3083728_c114521471bc15a998c4ab1988196da87a9982c2.jpg	Atriplex patula	Atriplex patula	0.83307	Chenopodium album	0.03843	Atriplex prostrata	0.02332	Lipandra polysperma	0.02153	Chenopodium ficifolium	0.01305
3102781_457d3153da79f1ce257b806bee80b6cb196f9414.jpg	Anthemis arvensis	Anthemis arvensis	0.69675	Chamaemelum nobile	0.09621	Anacyclus clavatus	0.04477	Anthemis cotula	0.02344	Anthemis maritima	0.02015
5421116_2652c602b57dde598dd36cde5e76bb61431315bd.jpg	Tribulus terrestris	Tribulus terrestris	0.75691	Citrullus colocynthis	0.02071	Amaranthus blitoides	0.01601	Tribulus pentandrus	0.00552	Vachellia farnesiana	0.00547
2704178_bf77eb3723db2bc31e9152d49bb41c0f7674ca77.jpg	Poa pratensis	Poa alpina	0.13243	Poa compressa	0.04075	Poa annua	0.01751	Poa supina	0.01704	Poa pratensis	0.01098
3114627_34b8848d7245dfd42f1bd8dd692b9caca424f0cb.jpg	Carduus tenuiflorus	Carduus tenuiflorus	0.81994	Carduus pycnocephalus	0.08623	Carduus carlinoides	0.00473	Carduus cephalanthus	0.00288
3053168_060549a1ae51749f4b70e684f3f5c1cc62a6949d.jpg	Rorippa palustris	Rorippa palustris	0.70927	Rorippa curvisiliqua	0.00788	Rorippa sylvestris	0.00421	Sisymbrium erysimoides	0.0017	Rorippa pyrenaica	0.00134
2946427_f1bf93de9d3330f0ee4f8e22e7a1830f4e9d98fb.jpg	Anagyris foetida	Anagyris foetida	0.71003	Lonicera pyrenaica	0.08089	Daphne alpina	0.00885	Lonicera caerulea	0.00813	Laburnum anagyroides	0.00558
5406789_98f0f0ae14755fa912f076698851cd3580cd3e40.jpg	Alcea rosea	Alcea rosea	0.44934	Alcea biennis	0.35384	Alcea setosa	0.01528	Malva arborea	0.00607	Malva trimestris	0.00395
5352251_b4e785664cc01de7b0f70d41072ddf31a7d25ab8.jpg	Robinia pseudoacacia	Robinia pseudoacacia	0.2744	Gleditsia triacanthos	0.02842	Tipuana tipu	0.02053	Robinia hispida	0.01384	Robinia viscosa	0.01095
2956364_0f19a9f75fb2854f5d7d899cb9fb5358afe5450f.jpg	Calicotome villosa	Calicotome villosa	0.47094	Calicotome spinosa	0.23005	Genista scorpius	0.0782	Medicago arborea	0.00979	Genista corsica	0.00659
8342877_51c3ec5c7ec71cfc495ca87be909e960a423d4af.jpg	Pycnocomon rutifolium	Sanguisorba minor	0.20118	Pycnocomon rutifolium	0.1154	Sanguisorba verrucosa	0.03547	Sanguisorba officinalis	0.02396	Scabiosa atropurpurea	0.02334
4097481_28a4bc513ba81dc0bc56736f0ecf610ae80d78e1.jpg	Spirodela polyrhiza	Spirodela polyrhiza	0.92368	Lemna minor	0.01245	Lemna gibba	0.00337	Hydrocharis morsus-ranae	0.00271	Hydrocharis laevigata	0.00146
5290242_951897c8532f206b04c2da255870610aba8a9c46.jpg	Gaudinia fragilis	Trisetum flavescens	0.28566	Koeleria pyramidata	0.20538	Gaudinia fragilis	0.04144	Anthoxanthum odoratum	0.02846	Rostraria cristata	0.02358
5356393_a43322f88d4ffa6f71923633ab07ec73bd6e5774.jpg	Lathyrus linifolius	Lathyrus linifolius	0.16188	Lathyrus palustris	0.00962	Lathyrus filiformis	0.0072	Lathyrus vernus	0.00717	Lathyrus pannonicus	0.00381
7905507_7ab1aa06ff77f98ce6999f3d0921ff6d235f9fbd.jpg	Amaranthus albus	Amaranthus albus	0.3648	Amaranthus blitum	0.18493	Amaranthus blitoides	0.11793	Amaranthus retroflexus	0.04768	Amaranthus spinosus	0.04328
5334294_1b63bb01dd7df0b03eb26057019a2e78f46a2ea5.jpg	Polygonum arenastrum	Polygonum aviculare	0.75534	Polygonum maritimum	0.03691	Polygonum arenastrum	0.02077	Polygonum glaucum	0.00251	Amaranthus deflexus	0.0022
3105381_3afa9e6e01829cd71c9a9a34a087f251abc0cda2.jpg	Carlina racemosa	Carlina racemosa	0.68446	Carlina corymbosa	0.11542	Carthamus lanatus	0.04195	Scolymus hispanicus	0.00344	Centaurea solstitialis	0.00329
3152378_172f5b7b099d8b44271707d6d1d33cb0d94999e3.jpg	Malva parviflora	Malva multiflora	0.28428	Malva parviflora	0.12932	Malva sylvestris	0.11588	Malva neglecta	0.0642	Malva nicaeensis	0.01263
2701571_c5c4678c263e090860cd5bb49e15972f0a36de52.jpg	Juncus acutiflorus	Juncus acutiflorus	0.24847	Juncus articulatus	0.08268	Juncus subnodulosus	0.02209	Juncus gerardi	0.00929	Juncus alpinoarticulatus	0.00782
5421025_dc8d50a36475762105d99af2ea7ff53272072953.jpg	Ludwigia palustris	Ludwigia palustris	0.69043	Sauvagesia erecta	0.0086	Ludwigia glandulosa	0.00564	Lythrum portula	0.00479	Ludwigia suffruticosa	0.00452
2855893_8781e57dcd381c3d04ace4d431d3f22b648f40c2.jpg	Allium roseum	Allium roseum	0.78939	Allium massaessylum	0.05851	Allium oleraceum	0.00759	Allium neapolitanum	0.00687	Allium canadense	0.00672
