filename	species	rank1	c1	rank2	c2	rank3	c3	rank4	c4	rank5	c5
Acacia_dealbata-1.jpg	Acacia dealbata	Acacia dealbata	0.8162	Acacia decurrens	0.05901	Acacia mearnsii	0.01221	Acacia baileyana	0.01009	Peltophorum dubium	0.00226
Acacia-longifolia-branch.jpg	Acacia longifolia	Acacia longifolia	0.32732	Acacia auriculiformis	0.00824	Acacia spirorbis	0.00743	Acacia mangium	0.00503	Acacia leiocalyx	0.00144
Acacia_mearnsii_blossoms.jpg	Acacia mearnsii	Acacia mearnsii	0.34077	Acacia parramattensis	0.00714	Acacia decurrens	0.00428	Acacia dealbata	0.00292	Anadenanthera colubrina	0.00089
Acacia_melanoxylon.jpg	Acacia melanoxylon	Acacia melanoxylon	0.28318	Acacia koaia	0.0112	Acacia myrtifolia	0.00638	Acacia longifolia	0.00512	Acacia heterophylla	0.0049
Acacia_pycnantha_Golden_Wattle.jpg	Acacia pycnantha	Acacia pycnantha	0.15663	Acacia retinodes	0.08822	Acacia saligna	0.03465	Acacia macradenia	0.00964	Acacia longifolia	0.00894
Acacia_melanoxylon2.jpg	Acacia retinodes	Acacia retinodes	0.04119	Acacia salicina	0.03027	Acacia boormanii	0.02684	Eucalyptus spathulata	0.01787	Acacia suaveolens	0.01012
Acacia_April_2015-3.jpg	Acacia saligna	Acacia saligna	0.50628	Acacia retinodes	0.03338	Acacia pycnantha	0.01338	Acacia baileyana	0.00883	Acacia dealbata	0.00839
Acanthaceae_-_Acanthus_mollis_%282%29.JPG	Acanthus mollis	Acanthus mollis	0.36693	Acanthus spinosus	0.35787	Acanthus hungaricus	0.04268	Acanthus hirsutus	0.01046	Acanthus montanus	0.00965
Acer_monspessulanum_fg02.jpg	Acer monspessulanum	Acer monspessulanum	0.29461	Acer sempervirens	0.03337	Acer campestre	0.00597	Acer obtusifolium	0.00316	Acer hyrcanum	0.00181
Acer_negundo_44809168.jpg	Acer negundo	Fraxinus cuspidata	0.60174	Fraxinus velutina	0.03453	Heteromorpha arborescens	0.0241	Salix nigra	0.01914	Fraxinus latifolia	0.01533
